year,band,fdi_variant,c_remit,c_travel,c_comp,c_fdi,c_eo,total_eur_m,gdp_eur_m,provisional,provisional_reason,has_denominator,pct_gdp,eo_pct_gdp,vintage
2004,narrow_scope,excl_reinvested,357,67.5464,0,NA,0,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2005,narrow_scope,excl_reinvested,418.02,81.12559999999999,0,NA,0,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2006,narrow_scope,excl_reinvested,467.15,100.51920000000001,0,NA,0,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2007,narrow_scope,excl_reinvested,588.5331733023289,134.64931583999996,0,0,0,723.1824891423289,NA,FALSE,NA,FALSE,NA,NA,2026-08
2008,narrow_scope,excl_reinvested,608.7208974220822,163.40812611154197,0,0,0,772.1290235336241,3537.599,FALSE,NA,TRUE,21.826358033616135,0,2026-08
2009,narrow_scope,excl_reinvested,585.6950810833681,255.41522279789015,0,0,0,841.1103038812582,3610.441,FALSE,NA,TRUE,23.296608471963907,0,2026-08
2010,narrow_scope,excl_reinvested,584.3270289766,301.5006445647211,0,0,0,885.827673541321,4030.991,FALSE,NA,TRUE,21.975431687674842,0,2026-08
2011,narrow_scope,excl_reinvested,492.5233890762786,489.1058756572602,0,0,0,981.6292647335388,4555.903,FALSE,NA,TRUE,21.546316169012787,0,2026-08
2012,narrow_scope,excl_reinvested,516.3555060867394,585.8747855778145,0,0,0,1102.230291664554,4797.278,FALSE,NA,TRUE,22.976160474013678,0,2026-08
2013,narrow_scope,excl_reinvested,573.3924234432263,595.719612900164,0,0,0,1169.1120363433902,5071.333,FALSE,NA,TRUE,23.053347834649987,0,2026-08
2014,narrow_scope,excl_reinvested,622.2788801821025,612.3391433836296,0,0,0,1234.618023565732,5325.095,FALSE,NA,TRUE,23.184901369191195,0,2026-08
2015,narrow_scope,excl_reinvested,665.4869067088507,662.165305020305,0,0,0,1327.6522117291556,5674.422,FALSE,NA,TRUE,23.397135633006425,0,2026-08
2016,narrow_scope,excl_reinvested,690.9570559588526,829.3194474987934,0,0,0,1520.276503457646,6037.273,FALSE,NA,TRUE,25.181509987334444,0,2026-08
2017,narrow_scope,excl_reinvested,759.1885427504003,1023.1360009284389,0,0,0,1782.3245436788393,6356.456,FALSE,NA,TRUE,28.039595392131076,0,2026-08
2018,narrow_scope,excl_reinvested,800.4554206980118,1129.934110799969,0,0,0,1930.389531497981,6671.522,FALSE,NA,TRUE,28.934769779639204,0,2026-08
2019,narrow_scope,excl_reinvested,851.7475720463405,1215.656083705209,0,0,0,2067.4036557515496,7056.172,FALSE,NA,TRUE,29.29922422173878,0,2026-08
2020,narrow_scope,excl_reinvested,980.1120144323588,577.7764183516578,0,0,-0,1557.8884327840165,6771.601,FALSE,NA,TRUE,23.006205368331898,-0,2026-08
2021,narrow_scope,excl_reinvested,1153.4420032218243,1370.886953418504,0,0,0,2524.328956640328,7957.876,TRUE,CBK services revision announced for September 2026,TRUE,31.721139618666186,0,2026-08
2022,narrow_scope,excl_reinvested,1222.959738787726,1725.2519304828734,0,0,0,2948.2116692705995,8895.728,TRUE,CBK services revision announced for September 2026,TRUE,33.14188191534858,0,2026-08
2023,narrow_scope,excl_reinvested,1335.7617347693517,2030.4260637257105,0,0,0,3366.1877984950625,9680.068,TRUE,CBK services revision announced for September 2026,TRUE,34.77442305668785,0,2026-08
2024,narrow_scope,excl_reinvested,1355.0109741965643,2231.229294505937,0,0,0,3586.2402687025015,10350.373,TRUE,CBK services revision announced for September 2026,TRUE,34.64841574987202,0,2026-08
