geo,poverty,year,value
TR,total,2014,15.5
TR,total,2015,15.9
TR,total,2016,24.2
TR,total,2017,20.7
TR,total,2018,19.1
TR,total,2019,19.2
TR,total,2020,20.3
TR,total,2021,20.5
TR,total,2022,20.4
TR,total,2023,19.5
TR,total,2024,15.1
TR,total,2025,19.5
XK,below_at_risk_of_poverty,2018,53.1
XK,total,2018,40.2
