vintage,file,label,url,downloaded_utc,last_modified,bytes,md5,newly_fetched
2026-09,26 Balance of payments - main components.xls,Balance of Payments (BOP) - main components,https://bqk-kos.org/repository/docs/time_series/26%20Balance%20of%20payments%20-%20main%20components.xls,2026-09-05 11:01:08,"Mon, 31 Aug 2026 13:38:50 GMT",961024,c1791fedba8b0862f1314caad2425536,TRUE
2026-09,26a Current account.xls,BOP current account,https://bqk-kos.org/repository/docs/time_series/26a%20Current%20account.xls,2026-09-05 11:01:13,"Mon, 31 Aug 2026 13:39:10 GMT",956928,b4f63d015ba47eb95da7d5c53ba8d86d,TRUE
2026-09,27 Services.xls,Services,https://bqk-kos.org/repository/docs/time_series/27%20Services.xls,2026-09-05 11:01:18,"Mon, 31 Aug 2026 12:13:15 GMT",978944,8b9c27945f335bf0d325327c316fde1a,TRUE
2026-09,27.1 Services by country and activity.xls,Services by country and activity,https://bqk-kos.org/repository/docs/time_series/27.1%20Services%20by%20country%20and%20activity.xls,2026-09-05 11:01:22,"Wed, 01 Oct 2025 13:23:09 GMT",456192,3463a2125897767bb45b85f52231c88f,TRUE
2026-09,28 Primary Income.xls,Primary income,https://bqk-kos.org/repository/docs/time_series/28%20Primary%20Income.xls,2026-09-05 11:01:27,"Mon, 31 Aug 2026 12:15:16 GMT",937984,3aa15a288a783f0f52463b37405d0134,TRUE
2026-09,29 Secondary Income.xls,Secondary income,https://bqk-kos.org/repository/docs/time_series/29%20Secondary%20Income.xls,2026-09-05 11:01:31,"Mon, 31 Aug 2026 12:20:07 GMT",958464,2cc4286b76d19a53e9b09e8b590440cc,TRUE
2026-09,30 Financial account.xls,Financial account,https://bqk-kos.org/repository/docs/time_series/30%20Financial%20account.xls,2026-09-05 11:01:36,"Mon, 31 Aug 2026 13:39:38 GMT",983040,b980438e8d8ae868d5b69fcdafac2e56,TRUE
2026-09,31 Remittances-by channel.xls,Remittances inflows - by channel,https://bqk-kos.org/repository/docs/time_series/31%20Remittances-by%20channel.xls,2026-09-05 11:01:41,"Fri, 28 Aug 2026 08:57:54 GMT",179200,3032b55360fb893df04b44cb071f03e2,TRUE
2026-09,32 Remittances-by country.xls,Remittances inflows - by country,https://bqk-kos.org/repository/docs/time_series/32%20Remittances-by%20country.xls,2026-09-05 11:01:45,"Fri, 28 Aug 2026 08:52:11 GMT",746496,8af1c809858b2b6d2800579e76bfc73b,TRUE
2026-09,33.1 Direct_investment_flows_In_&_Out.xls,Foreign direct investment - by financial instruments,https://bqk-kos.org/repository/docs/time_series/33.1%20Direct_investment_flows_In_&_Out.xls,2026-09-05 11:01:50,"Mon, 31 Aug 2026 13:50:24 GMT",931840,aa0f3c25a5aa377fae01ee366711dc81,TRUE
2026-09,34 Foreign direct investments - by country.xls,Foreign direct investment - by country,https://bqk-kos.org/repository/docs/time_series/34%20Foreign%20direct%20investments%20-%20by%20country.xls,2026-09-05 11:01:54,"Mon, 31 Aug 2026 14:06:18 GMT",844800,dfcfa840c1b810416d3250b90306ea3a,TRUE
2026-09,34a Direct investment in Kosovo by geographical breakdown.xls,Direct investment in Kosovo by geographical breakdown,https://bqk-kos.org/repository/docs/time_series/34a%20Direct%20investment%20in%20Kosovo%20by%20geographical%20breakdown.xls,2026-09-05 11:01:59,"Mon, 29 Jun 2026 12:38:57 GMT",646656,c17b4b08475f4e28a525c7351df06f00,TRUE
2026-09,Metodologjia-e-perpilimit-te-BP-dhe-PIN.pdf,"CBK BOP/IIP compilation methodology (documentation, not a pipeline input)",https://bqk-kos.org/wp-content/uploads/2025/07/Metodologjia-e-perpilimit-te-BP-dhe-PIN.pdf,2026-09-05 11:02:03,"Fri, 11 Jul 2025 14:29:18 GMT",723861,7c2ddb7184fa6d707614ae8ea206db2e,TRUE
