Year/month,Groups and subgroups,Annual index changes by main groups and subgroups
2016M07,"04.5. Electricity, gas and other fuels",-4.9
2016M06,"04.5. Electricity, gas and other fuels",-5.3
2016M05,"04.5. Electricity, gas and other fuels",-5.3
2016M04,"04.5. Electricity, gas and other fuels",-5.2
2016M03,"04.5. Electricity, gas and other fuels",-4.1
2016M02,"04.5. Electricity, gas and other fuels",-3.6
2016M01,"04.5. Electricity, gas and other fuels",-3.8
2015M12,"04.5. Electricity, gas and other fuels",-4.1
2015M11,"04.5. Electricity, gas and other fuels",-4.2
2015M10,"04.5. Electricity, gas and other fuels",-4.6
2015M09,"04.5. Electricity, gas and other fuels",-2.5
2015M08,"04.5. Electricity, gas and other fuels",5.1
2015M07,"04.5. Electricity, gas and other fuels",5
2015M06,"04.5. Electricity, gas and other fuels",8.4
2015M05,"04.5. Electricity, gas and other fuels",8
2015M04,"04.5. Electricity, gas and other fuels",6.1
2015M03,"04.5. Electricity, gas and other fuels",7.2
2015M02,"04.5. Electricity, gas and other fuels",7.4
2015M01,"04.5. Electricity, gas and other fuels",7.8
2014M12,"04.5. Electricity, gas and other fuels",8.8
2014M11,"04.5. Electricity, gas and other fuels",9.6
2014M10,"04.5. Electricity, gas and other fuels",9.5
2014M09,"04.5. Electricity, gas and other fuels",9.3
2014M08,"04.5. Electricity, gas and other fuels",7
2014M07,"04.5. Electricity, gas and other fuels",6.8
2014M06,"04.5. Electricity, gas and other fuels",4.7
2014M05,"04.5. Electricity, gas and other fuels",5.4
2014M04,"04.5. Electricity, gas and other fuels",4.6
2014M03,"04.5. Electricity, gas and other fuels",1.2
2014M02,"04.5. Electricity, gas and other fuels",1
2014M01,"04.5. Electricity, gas and other fuels",0.1
2013M12,"04.5. Electricity, gas and other fuels",-0.5
2013M11,"04.5. Electricity, gas and other fuels",-1.2
2013M10,"04.5. Electricity, gas and other fuels",-1.5
2013M09,"04.5. Electricity, gas and other fuels",-3.2
2013M08,"04.5. Electricity, gas and other fuels",-2.5
2013M07,"04.5. Electricity, gas and other fuels",-0.6
2013M06,"04.5. Electricity, gas and other fuels",-2
2013M05,"04.5. Electricity, gas and other fuels",0.1
2013M04,"04.5. Electricity, gas and other fuels",1.9
2013M03,"04.5. Electricity, gas and other fuels",2.1
2013M02,"04.5. Electricity, gas and other fuels",-2
2013M01,"04.5. Electricity, gas and other fuels",6.9
2012M12,"04.5. Electricity, gas and other fuels",7.6
2012M11,"04.5. Electricity, gas and other fuels",7.9
2012M10,"04.5. Electricity, gas and other fuels",8.3
2012M09,"04.5. Electricity, gas and other fuels",11.9
2012M08,"04.5. Electricity, gas and other fuels",9
2012M07,"04.5. Electricity, gas and other fuels",8.1
2012M06,"04.5. Electricity, gas and other fuels",10.5
2012M05,"04.5. Electricity, gas and other fuels",7.8
2012M04,"04.5. Electricity, gas and other fuels",8.3
2012M03,"04.5. Electricity, gas and other fuels",6.3
2012M02,"04.5. Electricity, gas and other fuels",10.7
2012M01,"04.5. Electricity, gas and other fuels",0.9
2011M12,"04.5. Electricity, gas and other fuels",-0.4
2011M11,"04.5. Electricity, gas and other fuels",-0.7
2011M10,"04.5. Electricity, gas and other fuels",-1.2
2011M09,"04.5. Electricity, gas and other fuels",-0.3
2011M08,"04.5. Electricity, gas and other fuels",3.2
2011M07,"04.5. Electricity, gas and other fuels",3.6
2011M06,"04.5. Electricity, gas and other fuels",1.9
2011M05,"04.5. Electricity, gas and other fuels",1.5
2011M04,"04.5. Electricity, gas and other fuels",-0.9
2011M03,"04.5. Electricity, gas and other fuels",0.9
2011M02,"04.5. Electricity, gas and other fuels",0.2
2011M01,"04.5. Electricity, gas and other fuels",2.1
2010M12,"04.5. Electricity, gas and other fuels",3.2
2010M11,"04.5. Electricity, gas and other fuels",3.6
2010M10,"04.5. Electricity, gas and other fuels",4.4
2010M09,"04.5. Electricity, gas and other fuels",3.9
2010M08,"04.5. Electricity, gas and other fuels",-0.1
2010M07,"04.5. Electricity, gas and other fuels",-0.1
2010M06,"04.5. Electricity, gas and other fuels",-0.5
