year,yes/no,Affordability of households to keep the house warm adequately
2024,Yes,78.4
2024,No,21.6
2023,Yes,86.2
2023,No,13.8
2022,Yes,73.4
2022,No,26.6
2021,Yes,85.1
2021,No,14.9
2020,Yes,77
2020,No,23
2019,Yes,37.4
2019,No,62.6
2018,Yes,59.8
2018,No,40.2
